DAUID,Population,Population 15 to 64,Pop_65plus,Pop15plus
35201323,428,295,50,345
35201324,391,255,50,305
35201325,410,290,50,340
35201326,641,505,50,555
35201327,494,395,55,450
35201328,303,240,25,265
35201329,360,310,35,345
35201331,436,355,35,390
35201332,759,545,170,715
35201333,381,310,45,355
35201334,908,660,140,800
35201337,547,385,100,485
35201338,407,330,40,370
35201339,310,255,40,295
35201347,532,365,70,435
35201348,533,385,45,430
35201349,498,345,50,395
35201350,686,470,80,550
35201351,433,310,50,360
35201352,382,275,45,320
35201353,414,310,30,340
35201354,406,300,45,345
35201355,450,325,45,370
35201356,367,260,50,310
35201357,1067,830,125,955
35201358,642,495,55,550
35201359,444,310,70,380
35201360,604,445,70,515
35201361,710,540,75,615
35201362,1733,1405,160,1565
35201363,372,260,45,305
35201364,470,340,70,410
35201365,768,565,90,655
35201368,322,220,50,270
35201369,614,400,95,495
35201370,367,270,35,305
35201371,390,295,50,345
35201372,472,340,50,390
35201373,370,250,40,290
35201374,706,475,105,580
35201375,615,435,95,530
35201376,688,525,80,605
35201377,360,285,30,315
35201378,521,415,40,455
35201379,594,435,70,505
35201380,468,335,45,380
35201381,411,295,70,365
35201383,419,290,60,350
35201384,387,270,60,330
35201387,619,380,155,535
35201388,656,450,80,530
35201389,954,670,140,810
35201390,581,415,85,500
35201391,320,230,55,285
35201393,573,410,85,495
35201394,551,395,90,485
35201395,470,335,65,400
35201396,1442,905,365,1270
35201397,543,395,90,485
35201398,425,290,75,365
35201399,439,325,55,380
35201400,268,205,35,240
35201401,1723,1315,190,1505
35201402,624,470,75,545
35201403,282,210,30,240
35201404,397,210,135,345
35201405,331,185,105,290
35201406,555,395,60,455
35201407,1014,815,95,910
35201408,516,360,70,430
35201409,384,290,50,340
35201410,365,290,35,325
35201411,578,440,85,525
35201412,365,265,60,325
35201413,419,310,70,380
35201414,475,345,65,410
35201415,362,260,45,305
35201416,449,235,190,425
35201417,312,235,50,285
35201418,401,290,60,350
35201419,440,270,105,375
35201420,467,375,45,420
35201421,369,290,35,325
35201422,572,405,100,505
35201423,375,290,50,340
35201426,440,305,75,380
35201427,489,340,80,420
35201428,615,475,95,570
35201429,493,360,85,445
35201430,427,300,70,370
35201431,346,275,45,320
35201432,597,445,95,540
35201433,618,435,115,550
35201434,476,370,75,445
35201435,379,290,65,355
35201436,504,380,105,485
35201437,485,385,75,460
35201438,481,365,50,415
35201439,530,355,125,480
35201440,459,345,75,420
35201441,445,295,105,400
35201442,802,620,90,710
35201443,358,260,60,320
35201444,390,300,55,355
35201445,343,260,45,305
35201446,252,195,35,230
35201447,340,255,55,310
35201448,342,265,45,310
35201449,344,235,70,305
35201451,356,265,55,320
35201452,1243,1100,50,1150
35201459,372,300,50,350
35201460,878,515,330,845
35201461,119,10,105,115
35201463,1124,890,105,995
35201464,721,530,120,650
35201466,457,355,50,405
35201467,591,460,40,500
35201468,420,175,210,385
35201469,2249,1780,205,1985
35201471,777,515,165,680
35201477,438,280,65,345
35201478,443,275,70,345
35201479,423,235,115,350
35201480,428,275,60,335
35201481,381,275,45,320
35201482,527,335,100,435
35201483,500,325,90,415
35201485,511,330,100,430
35201486,425,295,60,355
35201487,769,495,105,600
35201488,651,415,100,515
35201489,459,285,90,375
35201490,463,305,50,355
35201491,557,390,70,460
35201492,529,340,65,405
35201493,727,480,95,575
35201494,706,465,110,575
35201495,890,565,175,740
35201496,1353,585,685,1270
35201497,551,355,110,465
35201498,394,260,65,325
35201499,530,345,90,435
35201500,554,335,120,455
35201501,696,415,165,580
35201502,640,420,85,505
35201503,563,365,100,465
35201504,404,220,130,350
35201505,532,315,105,420
35201506,647,435,125,560
35201507,852,505,225,730
35201508,734,445,130,575
35201509,548,360,75,435
35201510,540,305,105,410
35201511,609,400,115,515
35201512,639,390,140,530
35201513,612,375,110,485
35201514,720,470,140,610
35201515,611,390,125,515
35201516,670,425,120,545
35201517,580,375,115,490
35201518,496,340,90,430
35201519,1139,780,220,1000
35201520,690,510,80,590
35201521,613,440,85,525
35201522,578,320,210,530
35201523,405,260,85,345
35201524,534,365,80,445
35201525,483,315,85,400
35201526,1648,1185,210,1395
35201532,673,495,70,565
35201541,642,415,100,515
35201542,558,375,90,465
35201543,543,360,75,435
35201544,484,325,65,390
35201545,583,415,95,510
35201547,674,460,90,550
35201548,440,290,60,350
35201552,514,335,70,405
35201553,566,380,90,470
35201554,555,385,90,475
35201555,638,440,100,540
35201556,631,410,150,560
35201557,468,345,95,440
35201558,607,400,105,505
35201559,630,370,185,555
35201560,455,315,45,360
35201563,415,295,45,340
35201564,433,320,65,385
35201565,501,340,85,425
35201566,501,360,60,420
35201567,668,495,75,570
35201568,537,415,60,475
35201569,436,305,65,370
35201570,365,280,35,315
35201571,491,325,90,415
35201572,547,380,90,470
35201573,1170,835,160,995
35201574,493,360,70,430
35201575,663,490,90,580
35201576,1297,995,120,1115
35201577,465,310,85,395
35201578,390,255,70,325
35201579,999,665,200,865
35201580,345,235,70,305
35201581,737,540,110,650
35201582,380,265,85,350
35201583,689,470,110,580
35201584,481,300,100,400
35201585,469,300,85,385
35201586,384,270,65,335
35201587,456,315,70,385
35201588,609,415,95,510
35201589,658,435,120,555
35201590,625,405,130,535
35201591,575,370,110,480
35201592,458,320,75,395
35201593,388,270,70,340
35201594,417,270,90,360
35201595,820,555,110,665
35201596,721,470,125,595
35201597,641,425,125,550
35201598,396,260,90,350
35201599,527,340,100,440
35201600,624,355,200,555
35201601,909,630,115,745
35201602,395,260,75,335
35201603,478,295,80,375
35201604,486,305,60,365
35201605,390,240,85,325
35201607,826,575,155,730
35201608,442,270,100,370
35201609,348,210,80,290
35201610,1356,785,405,1190
35201611,487,305,85,390
35201612,363,230,85,315
35201613,374,240,90,330
35201614,626,420,110,530
35201615,460,305,90,395
35201616,562,340,105,445
35201617,1033,480,495,975
35201620,773,500,175,675
35201621,319,200,90,290
35201622,471,285,105,390
35201623,1328,850,320,1170
35201624,448,290,80,370
35201625,509,295,165,460
35201626,312,160,120,280
35201627,368,235,65,300
35201629,301,195,70,265
35201630,431,285,95,380
35201631,666,430,135,565
35201632,327,210,85,295
35201634,369,230,90,320
35201635,428,290,95,385
35201636,400,240,85,325
35201641,1740,1335,115,1450
35201647,582,370,115,485
35201648,541,355,85,440
35201649,544,345,110,455
35201650,377,235,60,295
35201652,564,385,80,465
35201653,436,290,85,375
35201654,477,310,95,405
35201656,416,280,75,355
35201657,454,290,105,395
35201658,481,330,80,410
35201659,516,335,115,450
35201660,454,295,100,395
35201661,686,450,145,595
35201662,521,320,105,425
35201663,3922,3015,515,3530
35201664,1992,1510,195,1705
35201665,1198,795,180,975
35201666,514,310,115,425
35201667,1651,1340,170,1510
35201670,440,320,65,385
35201672,553,415,65,480
35201673,411,280,85,365
35201674,760,595,60,655
35201675,748,540,115,655
35201676,826,515,150,665
35201690,674,415,110,525
35201691,556,360,130,490
35201692,917,590,175,765
35201693,1053,675,190,865
35201694,664,455,125,580
35201695,367,255,80,335
35201696,1609,925,545,1470
35201697,480,310,95,405
35201698,599,435,85,520
35201699,495,310,110,420
35201700,708,455,160,615
35201701,553,345,140,485
35201702,505,330,100,430
35201703,589,390,95,485
35201704,479,285,120,405
35201705,471,290,100,390
35201706,644,410,105,515
35201707,495,295,100,395
35201708,578,360,120,480
35201709,308,180,75,255
35201710,447,285,85,370
35201711,473,310,95,405
35201712,367,225,80,305
35201713,422,245,120,365
35201714,1305,915,160,1075
35201717,567,165,370,535
35201718,495,305,105,410
35201719,502,300,140,440
35201720,610,395,120,515
35201721,456,295,70,365
35201722,1044,720,135,855
35201723,438,310,55,365
35201724,395,235,100,335
35201725,903,595,190,785
35201726,451,285,115,400
35201728,1209,720,310,1030
35201730,454,280,110,390
35201731,443,310,70,380
35201732,725,490,115,605
35201734,506,315,120,435
35201735,439,310,30,340
35201736,821,535,75,610
35201737,638,415,120,535
35201738,480,285,125,410
35201739,469,300,90,390
35201740,557,370,90,460
35201741,450,305,55,360
35201744,1810,1045,570,1615
35201748,1364,920,280,1200
35201749,415,250,110,360
35201750,474,285,115,400
35201751,292,200,55,255
35201752,271,175,50,225
35201753,253,165,65,230
35201754,282,180,70,250
35201755,507,315,100,415
35201756,665,440,140,580
35201757,371,235,95,330
35201758,544,370,90,460
35201759,815,575,115,690
35201760,430,275,95,370
35201761,510,325,110,435
35201762,838,510,200,710
35201779,2647,1690,270,1960
35201781,438,270,105,375
35201782,221,140,60,200
35201783,376,250,80,330
35201784,782,545,95,640
35201785,580,400,75,475
35201786,456,295,95,390
35201787,498,340,95,435
35201788,441,285,85,370
35201789,1022,695,110,805
35201790,344,225,90,315
35201791,749,510,95,605
35201792,419,250,120,370
35201793,313,185,100,285
35201802,418,265,95,360
35201803,375,245,60,305
35201804,441,270,105,375
35201805,651,400,155,555
35201806,521,315,140,455
35201807,668,410,160,570
35201816,472,300,100,400
35201817,474,300,105,405
35201818,515,360,85,445
35201819,380,255,75,330
35201820,542,400,75,475
35201822,907,625,125,750
35201823,434,310,70,380
35201824,441,280,105,385
35201825,630,405,125,530
35201826,458,310,70,380
35201827,412,280,85,365
35201828,439,275,80,355
35201829,472,330,75,405
35201830,428,310,80,390
35201831,330,225,60,285
35201832,261,185,55,240
35201833,422,305,60,365
35201834,453,315,80,395
35201835,1217,825,140,965
35201838,582,395,95,490
35201839,456,320,65,385
35201840,572,380,100,480
35201841,472,300,130,430
35201842,608,420,120,540
35201843,471,345,65,410
35201844,531,350,95,445
35201845,435,300,70,370
35201846,614,405,130,535
35201847,436,280,80,360
35201848,386,265,75,340
35201849,699,490,70,560
35201850,436,290,90,380
35201851,1280,930,170,1100
35201852,340,230,70,300
35201853,686,455,25,480
35201854,1750,1180,105,1285
35201855,399,295,60,355
35201856,1216,805,315,1120
35201857,966,630,140,770
35201858,464,325,80,405
35201859,491,340,70,410
35201860,648,460,95,555
35201861,421,275,90,365
35201862,619,445,95,540
35201863,847,515,220,735
35201864,591,425,90,515
35201868,880,590,135,725
35201869,457,280,120,400
35201872,603,385,140,525
35201874,1091,690,165,855
35201875,1189,805,185,990
35201876,1805,1285,190,1475
35201877,266,180,60,240
35201879,357,240,75,315
35201880,538,315,145,460
35201881,561,360,125,485
35201882,469,295,120,415
35201883,760,525,105,630
35201884,442,295,95,390
35201885,482,325,85,410
35201886,613,425,105,530
35201887,420,285,85,370
35201888,888,570,105,675
35201889,636,450,105,555
35201890,844,570,160,730
35201892,1036,720,80,800
35201893,455,315,75,390
35201894,623,425,125,550
35201895,434,300,85,385
35201896,407,265,90,355
35201900,400,275,60,335
35201901,426,275,80,355
35201902,525,350,75,425
35201903,1447,975,160,1135
35201904,617,430,105,535
35201905,402,280,70,350
35201906,374,255,65,320
35201907,496,345,90,435
35201908,497,330,105,435
35201909,370,225,100,325
35201912,500,310,35,345
35201913,428,265,95,360
35201914,263,165,75,240
35201915,373,235,90,325
35201919,450,320,60,380
35201920,1341,955,205,1160
35201935,472,335,60,395
35201936,482,330,70,400
35201937,465,295,115,410
35201938,826,550,175,725
35201939,497,330,85,415
35201940,505,370,80,450
35201950,487,290,150,440
35201951,608,355,160,515
35201952,459,245,145,390
35201953,522,345,115,460
35201955,499,230,220,450
35201958,589,425,85,510
35201959,711,490,130,620
35201960,1081,765,115,880
35201961,840,530,200,730
35201962,534,360,110,470
35201963,449,285,100,385
35201964,477,305,80,385
35201965,606,385,140,525
35201966,592,360,165,525
35201967,259,150,75,225
35201968,392,270,70,340
35201969,322,210,75,285
35201970,482,330,80,410
35201971,429,310,65,375
35201972,1341,910,225,1135
35201973,801,555,115,670
35201976,654,420,155,575
35201977,1373,940,165,1105
35201979,548,330,155,485
35201983,335,215,75,290
35201984,614,435,70,505
35201985,263,165,60,225
35201986,393,275,70,345
35201987,810,515,190,705
35201988,280,190,50,240
35201989,544,375,65,440
35201992,401,290,60,350
35201993,910,675,105,780
35201996,489,305,130,435
35201997,477,285,145,430
35201998,525,330,130,460
35201999,878,580,170,750
35202000,612,420,130,550
35202001,1437,1020,270,1290
35202002,681,445,125,570
35202003,1108,805,105,910
35202004,804,545,150,695
35202005,457,310,95,405
35202006,331,200,90,290
35202007,580,380,120,500
35202013,2078,1860,110,1970
35202016,1064,730,40,770
35202017,3410,2730,175,2905
35202018,1305,830,115,945
35202019,460,345,60,405
35202020,410,290,50,340
35202021,768,515,85,600
35202022,432,275,85,360
35202023,1428,1045,215,1260
35202024,881,585,170,755
35202025,628,420,145,565
35202026,492,345,65,410
35202027,398,255,80,335
35202028,273,155,70,225
35202029,780,495,210,705
35202030,1057,770,85,855
35202031,877,590,135,725
35202035,697,455,90,545
35202036,583,395,45,440
35202037,405,265,80,345
35202040,574,405,75,480
35202042,1163,805,75,880
35202045,450,310,40,350
35202046,1410,970,130,1100
35202047,468,335,75,410
35202048,359,215,90,305
35202049,474,320,90,410
35202050,1128,770,140,910
35202051,779,550,65,615
35202055,863,590,80,670
35202056,1088,685,235,920
35202057,1159,770,215,985
35202058,961,525,345,870
35202059,762,475,215,690
35202065,2029,1390,230,1620
35202066,845,600,155,755
35202067,264,165,50,215
35202071,1111,745,220,965
35202072,404,250,95,345
35202075,564,360,135,495
35202079,308,210,60,270
35202080,544,355,115,470
35202084,402,260,75,335
35202085,1100,770,110,880
35202086,1267,890,140,1030
35202087,783,505,230,735
35202088,783,525,145,670
35202089,584,390,95,485
35202090,388,290,45,335
35202091,524,350,95,445
35202096,1032,665,95,760
35202097,447,315,30,345
35202098,2043,1610,290,1900
35202100,395,265,70,335
35202101,401,265,65,330
35202102,623,410,115,525
35202103,587,430,60,490
35202104,554,385,95,480
35202105,443,305,75,380
35202106,586,410,100,510
35202107,371,265,60,325
35202108,1316,930,250,1180
35202109,969,695,160,855
35202110,801,565,135,700
35202111,499,325,95,420
35202112,941,685,105,790
35202113,649,385,120,505
35202114,452,275,85,360
35202115,531,320,75,395
35202116,493,305,75,380
35202117,601,410,75,485
35202118,531,365,60,425
35202119,884,655,90,745
35202120,989,660,170,830
35202121,564,370,50,420
35202122,599,390,55,445
35202123,644,355,120,475
35202124,578,375,70,445
35202125,699,455,100,555
35202126,708,480,75,555
35202127,485,325,50,375
35202128,677,435,95,530
35202129,547,380,55,435
35202130,499,320,80,400
35202131,885,605,135,740
35202132,1678,1000,500,1500
35202133,743,460,95,555
35202134,778,420,80,500
35202135,672,440,90,530
35202136,528,335,75,410
35202137,1391,1050,90,1140
35202138,442,305,100,405
35202139,551,380,105,485
35202140,3413,2730,315,3045
35202141,416,260,110,370
35202145,764,565,90,655
35202147,714,405,240,645
35202149,610,355,100,455
35202150,467,300,80,380
35202151,514,290,90,380
35202152,3603,2935,280,3215
35202153,515,375,70,445
35202154,327,205,60,265
35202155,579,425,70,495
35202156,547,360,80,440
35202157,376,230,65,295
35202158,457,275,95,370
35202159,1744,1340,70,1410
35202160,475,295,120,415
35202161,833,560,160,720
35202162,716,505,100,605
35202163,634,440,105,545
35202164,830,620,105,725
35202165,945,670,130,800
35202166,452,295,105,400
35202167,470,305,115,420
35202168,407,305,35,340
35202169,523,390,70,460
35202170,445,275,95,370
35202171,366,265,40,305
35202172,863,560,170,730
35202173,818,520,140,660
35202174,311,195,70,265
35202175,353,220,85,305
35202176,401,245,90,335
35202177,629,385,155,540
35202178,983,710,160,870
35202179,586,410,95,505
35202180,995,685,140,825
35202181,695,490,120,610
35202183,534,335,125,460
35202184,873,595,150,745
35202185,175,115,35,150
35202186,455,285,105,390
35202187,500,325,125,450
35202188,313,190,85,275
35202189,428,310,55,365
35202210,324,110,185,295
35202211,298,200,65,265
35202212,571,415,100,515
35202213,560,370,115,485
35202214,421,285,85,370
35202215,528,380,75,455
35202216,456,335,70,405
35202217,405,290,65,355
35202218,466,335,75,410
35202222,729,525,105,630
35202223,604,415,100,515
35202224,341,240,60,300
35202225,437,315,55,370
35202226,427,295,75,370
35202227,485,295,145,440
35202228,561,360,85,445
35202229,439,285,65,350
35202230,340,255,35,290
35202231,398,260,80,340
35202232,519,365,65,430
35202233,464,315,80,395
35202234,628,425,95,520
35202235,485,350,70,420
35202236,442,330,60,390
35202237,887,695,110,805
35202238,437,325,65,390
35202239,514,355,95,450
35202240,525,375,90,465
35202241,875,470,330,800
35202242,446,165,245,410
35202243,572,400,100,500
35202244,523,365,90,455
35202245,676,510,90,600
35202246,397,285,50,335
35202247,464,320,75,395
35202248,443,320,60,380
35202249,340,250,20,270
35202251,482,325,60,385
35202252,338,245,55,300
35202254,435,270,85,355
35202255,453,290,60,350
35202256,480,300,75,375
35202257,564,295,170,465
35202258,530,355,70,425
35202261,494,315,100,415
35202262,725,490,120,610
35202263,625,355,200,555
35202264,686,450,140,590
35202265,840,650,95,745
35202266,613,280,290,570
35202267,677,480,115,595
35202268,617,375,160,535
35202269,897,570,175,745
35202270,571,365,95,460
35202271,426,245,85,330
35202272,565,355,80,435
35202273,686,435,130,565
35202274,763,430,205,635
35202275,586,255,245,500
35202276,646,360,90,450
35202277,556,315,60,375
35202278,704,445,80,525
35202279,1310,880,205,1085
35202280,189,130,10,140
35202281,631,420,65,485
35202282,473,335,70,405
35202283,543,375,100,475
35202284,561,385,125,510
35202285,1400,590,725,1315
35202286,269,155,85,240
35202287,409,255,105,360
35202288,314,185,90,275
35202289,294,195,60,255
35202290,1366,975,175,1150
35202293,433,290,90,380
35202294,393,230,115,345
35202295,555,375,135,510
35202296,435,310,70,380
35202297,497,355,90,445
35202298,399,260,100,360
35202299,498,290,150,440
35202300,533,360,95,455
35202301,631,435,90,525
35202302,556,370,90,460
35202303,474,300,65,365
35202304,570,345,115,460
35202305,658,455,125,580
35202306,496,335,70,405
35202307,399,230,130,360
35202309,627,400,80,480
35202310,437,255,85,340
35202311,500,355,60,415
35202316,918,700,80,780
35202321,509,310,70,380
35202322,554,350,60,410
35202323,369,190,65,255
35202324,376,230,60,290
35202325,641,435,110,545
35202326,473,315,65,380
35202327,560,370,110,480
35202328,548,365,95,460
35202336,512,330,75,405
35202337,425,300,60,360
35202338,397,270,70,340
35202339,457,225,185,410
35202340,424,255,130,385
35202341,515,345,65,410
35202342,961,615,235,850
35202343,525,335,85,420
35202344,604,380,70,450
35202345,779,545,125,670
35202346,913,700,115,815
35202347,410,300,80,380
35202348,465,315,75,390
35202349,455,285,95,380
35202350,685,480,120,600
35202351,460,305,75,380
35202352,488,325,75,400
35202353,515,335,60,395
35202354,390,270,45,315
35202355,842,545,120,665
35202356,517,330,55,385
35202357,553,355,90,445
35202358,461,285,80,365
35202359,559,355,130,485
35202360,539,360,80,440
35202361,452,325,60,385
35202362,294,205,50,255
35202363,1074,405,590,995
35202364,399,295,50,345
35202365,372,260,60,320
35202366,486,330,70,400
35202367,740,470,105,575
35202368,539,345,70,415
35202369,574,360,70,430
35202370,530,350,65,415
35202371,699,430,115,545
35202372,478,320,65,385
35202373,662,375,225,600
35202374,605,410,75,485
35202375,485,325,65,390
35202376,745,460,90,550
35202377,554,355,90,445
35202378,788,450,230,680
35202379,398,285,45,330
35202380,410,260,70,330
35202381,412,235,65,300
35202382,667,435,130,565
35202383,568,375,90,465
35202384,558,385,75,460
35202385,625,420,85,505
35202386,1144,735,160,895
35202387,542,340,80,420
35202388,1034,635,220,855
35202389,711,445,100,545
35202390,499,320,55,375
35202391,634,405,105,510
35202392,858,580,140,720
35202393,572,370,80,450
35202394,410,270,65,335
35202395,555,390,80,470
35202396,426,270,85,355
35202398,1165,820,180,1000
35202399,423,305,50,355
35202400,535,355,70,425
35202401,575,395,60,455
35202402,525,375,55,430
35202403,1340,915,235,1150
35202404,608,430,70,500
35202405,550,395,100,495
35202406,897,495,305,800
35202407,261,180,35,215
35202408,639,405,145,550
35202409,650,460,115,575
35202413,382,235,90,325
35202414,266,135,90,225
35202415,433,285,75,360
35202416,443,330,65,395
35202417,387,260,75,335
35202418,415,280,80,360
35202419,392,265,70,335
35202431,2658,2060,375,2435
35202436,516,380,85,465
35202439,530,365,95,460
35202440,580,420,95,515
35202441,619,435,115,550
35202442,523,275,205,480
35202443,1060,595,360,955
35202446,312,180,80,260
35202447,446,165,260,425
35202448,281,180,75,255
35202449,406,260,100,360
35202450,276,155,100,255
35202451,581,375,150,525
35202452,297,180,85,265
35202453,614,400,140,540
35202454,683,450,180,630
35202455,459,295,115,410
35202456,355,225,90,315
35202457,277,165,70,235
35202458,329,225,70,295
35202459,432,290,80,370
35202460,388,255,95,350
35202461,310,205,70,275
35202462,1054,700,180,880
35202466,626,410,145,555
35202467,545,350,130,480
35202468,822,525,195,720
35202469,744,535,110,645
35202472,744,210,485,695
35202475,565,375,95,470
35202476,598,380,125,505
35202477,565,395,90,485
35202478,688,460,130,590
35202479,486,305,125,430
35202480,466,300,105,405
35202481,449,290,90,380
35202482,466,290,135,425
35202483,1254,635,510,1145
35202484,265,180,55,235
35202485,269,175,65,240
35202486,420,285,90,375
35202487,276,165,75,240
35202491,488,350,95,445
35202492,350,210,100,310
35202493,356,215,95,310
35202494,428,255,115,370
35202495,401,260,80,340
35202496,626,410,150,560
35202497,440,290,105,395
35202498,548,375,115,490
35202499,659,480,90,570
35202500,472,300,120,420
35202501,970,715,150,865
35202502,412,275,85,360
35202503,501,375,75,450
35202504,604,420,125,545
35202507,371,250,95,345
35202508,463,315,95,410
35202509,457,280,125,405
35202510,935,700,120,820
35202511,722,510,145,655
35202512,481,345,90,435
35202513,455,310,100,410
35202514,440,285,105,390
35202515,554,355,145,500
35202516,449,300,115,415
35202517,525,355,125,480
35202522,485,340,90,430
35202523,498,355,100,455
35202534,965,635,220,855
35202535,458,295,115,410
35202547,881,630,140,770
35202548,504,380,85,465
35202549,447,320,80,400
35202550,542,425,45,470
35202551,507,315,145,460
35202553,947,665,120,785
35202554,1260,820,305,1125
35202555,717,535,60,595
35202560,396,295,65,360
35202564,617,350,190,540
35202565,703,440,150,590
35202566,875,590,145,735
35202567,823,535,155,690
35202568,941,585,205,790
35202569,744,520,115,635
35202570,591,380,120,500
35202571,651,390,180,570
35202572,610,430,95,525
35202573,633,410,120,530
35202574,462,295,100,395
35202575,544,340,145,485
35202576,622,420,85,505
35202577,502,335,100,435
35202583,667,470,115,585
35202584,386,265,95,360
35202586,487,335,100,435
35202587,579,380,130,510
35202588,329,215,80,295
35202589,991,390,550,940
35202590,416,285,90,375
35202591,938,670,115,785
35202592,408,245,140,385
35202593,434,290,95,385
35202594,328,200,100,300
35202597,492,370,55,425
35202598,365,250,50,300
35202599,602,395,100,495
35202600,491,340,65,405
35202605,609,355,180,535
35202606,633,395,125,520
35202608,787,505,180,685
35202611,410,270,80,350
35202612,615,390,135,525
35202613,590,360,145,505
35202614,486,310,100,410
35202615,414,255,85,340
35202616,521,300,130,430
35202617,525,360,85,445
35202618,653,495,70,565
35202619,647,410,110,520
35202620,1733,1035,550,1585
35202621,479,300,100,400
35202622,424,260,90,350
35202623,238,160,40,200
